,ts_code,exchange,name,per_unit,opt_type,call_put,exercise_type,exercise_price,maturity_date,list_date,delist_date
1083,10000176.SH,SSE,华夏上证50ETF期权1504认沽3.40,10000.0,ETF期权,P,欧式,3.4,20150422,20150420,20150422
1084,10000744.SH,SSE,华夏上证50ETF期权1612认沽2.446,10220.0,ETF期权,P,欧式,2.446,20161228,20161122,20161228
1085,10000207.SH,SSE,华夏上证50ETF期权1507认购3.10,10000.0,ETF期权,C,欧式,3.1,20150722,20150528,20150722
1086,10000674.SH,SSE,华夏上证50ETF期权1703认购2.202,10220.0,ETF期权,C,欧式,2.202,20170322,20160728,20170322
1087,10000110.SH,SSE,华夏上证50ETF期权1505认沽2.50,10000.0,ETF期权,P,欧式,2.5,20150527,20150326,20150527
1088,10000493.SH,SSE,华夏上证50ETF期权1601认沽2.25,10000.0,ETF期权,P,欧式,2.25,20160127,20151130,20160127
1089,10000103.SH,SSE,华夏上证50ETF期权1509认购2.80,10000.0,ETF期权,C,欧式,2.8,20150923,20150324,20150923
1090,10000697.SH,SSE,华夏上证50ETF期权1703认沽2.348,10220.0,ETF期权,P,欧式,2.348,20170322,20160816,20170322
1091,10000819.SH,SSE,华夏上证50ETF期权1703认购2.25,10000.0,ETF期权,C,欧式,2.25,20170322,20161206,20170322
1092,10000143.SH,SSE,华夏上证50ETF期权1504认购3.00,10000.0,ETF期权,C,欧式,3.0,20150422,20150409,20150422
1093,10001493.SH,SSE,华夏上证50ETF期权1811认购2.25,10000.0,ETF期权,C,欧式,2.25,20181128,20181012,20181128
1094,10001494.SH,SSE,华夏上证50ETF期权1811认购2.30,10000.0,ETF期权,C,欧式,2.3,20181128,20181012,20181128
1095,10001495.SH,SSE,华夏上证50ETF期权1811认沽2.25,10000.0,ETF期权,P,欧式,2.25,20181128,20181012,20181128
1096,10001496.SH,SSE,华夏上证50ETF期权1811认沽2.30,10000.0,ETF期权,P,欧式,2.3,20181128,20181012,20181128
1097,10000098.SH,SSE,华夏上证50ETF期权1503认沽2.80,10000.0,ETF期权,P,欧式,2.8,20150325,20150324,20150325
1098,10000133.SH,SSE,华夏上证50ETF期权1505认沽2.90,10000.0,ETF期权,P,欧式,2.9,20150527,20150408,20150527
1099,10000323.SH,SSE,华夏上证50ETF期权1508认购2.30,10000.0,ETF期权,C,欧式,2.3,20150826,20150819,20150826
1100,10000199.SH,SSE,华夏上证50ETF期权1512认购3.50,10000.0,ETF期权,C,欧式,3.5,20151223,20150428,20151223
1101,10000346.SH,SSE,华夏上证50ETF期权1603认购2.20,10000.0,ETF期权,C,欧式,2.2,20160323,20150824,20160323
1102,10000625.SH,SSE,华夏上证50ETF期权1612认购1.957,10220.0,ETF期权,C,欧式,1.957,20161228,20160509,20161228
1103,10000522.SH,SSE,华夏上证50ETF期权1602认沽2.15,10000.0,ETF期权,P,欧式,2.15,20160224,20160108,20160224
1104,10001247.SH,SSE,华夏上证50ETF期权1804认购2.65,10000.0,ETF期权,C,欧式,2.65,20180425,20180301,20180425
1105,10001248.SH,SSE,华夏上证50ETF期权1804认购2.70,10000.0,ETF期权,C,欧式,2.7,20180425,20180301,20180425
1106,10001249.SH,SSE,华夏上证50ETF期权1804认购2.75,10000.0,ETF期权,C,欧式,2.75,20180425,20180301,20180425
1107,10001250.SH,SSE,华夏上证50ETF期权1804认购2.80,10000.0,ETF期权,C,欧式,2.8,20180425,20180301,20180425
1108,10001251.SH,SSE,华夏上证50ETF期权1804认购2.85,10000.0,ETF期权,C,欧式,2.85,20180425,20180301,20180425
1109,10001252.SH,SSE,华夏上证50ETF期权1804认购2.90,10000.0,ETF期权,C,欧式,2.9,20180425,20180301,20180425
1110,10001253.SH,SSE,华夏上证50ETF期权1804认购2.95,10000.0,ETF期权,C,欧式,2.95,20180425,20180301,20180425
1111,10001254.SH,SSE,华夏上证50ETF期权1804认购3.00,10000.0,ETF期权,C,欧式,3.0,20180425,20180301,20180425
1112,10001255.SH,SSE,华夏上证50ETF期权1804认购3.10,10000.0,ETF期权,C,欧式,3.1,20180425,20180301,20180425
1113,10001256.SH,SSE,华夏上证50ETF期权1804认沽2.65,10000.0,ETF期权,P,欧式,2.65,20180425,20180301,20180425
1114,10001257.SH,SSE,华夏上证50ETF期权1804认沽2.70,10000.0,ETF期权,P,欧式,2.7,20180425,20180301,20180425
1115,10001258.SH,SSE,华夏上证50ETF期权1804认沽2.75,10000.0,ETF期权,P,欧式,2.75,20180425,20180301,20180425
1116,10001259.SH,SSE,华夏上证50ETF期权1804认沽2.80,10000.0,ETF期权,P,欧式,2.8,20180425,20180301,20180425
1117,10001260.SH,SSE,华夏上证50ETF期权1804认沽2.85,10000.0,ETF期权,P,欧式,2.85,20180425,20180301,20180425
1118,10001261.SH,SSE,华夏上证50ETF期权1804认沽2.90,10000.0,ETF期权,P,欧式,2.9,20180425,20180301,20180425
1119,10001262.SH,SSE,华夏上证50ETF期权1804认沽2.95,10000.0,ETF期权,P,欧式,2.95,20180425,20180301,20180425
1120,10001263.SH,SSE,华夏上证50ETF期权1804认沽3.00,10000.0,ETF期权,P,欧式,3.0,20180425,20180301,20180425
1121,10001264.SH,SSE,华夏上证50ETF期权1804认沽3.10,10000.0,ETF期权,P,欧式,3.1,20180425,20180301,20180425
1122,10000265.SH,SSE,华夏上证50ETF期权1508认沽2.60,10000.0,ETF期权,P,欧式,2.6,20150826,20150629,20150826
1123,10000145.SH,SSE,华夏上证50ETF期权1505认购3.00,10000.0,ETF期权,C,欧式,3.0,20150527,20150409,20150527
1124,10000818.SH,SSE,华夏上证50ETF期权1701认沽2.25,10000.0,ETF期权,P,欧式,2.25,20170125,20161206,20170125
1125,10000238.SH,SSE,华夏上证50ETF期权1512认购2.80,10000.0,ETF期权,C,欧式,2.8,20151223,20150623,20151223
1126,10000363.SH,SSE,华夏上证50ETF期权1509认沽2.05,10000.0,ETF期权,P,欧式,2.05,20150923,20150825,20150923
1127,10001465.SH,SSE,华夏上证50ETF期权1810认购2.80,10000.0,ETF期权,C,欧式,2.8,20181024,20180925,20181024
1128,10001466.SH,SSE,华夏上证50ETF期权1810认购2.85,10000.0,ETF期权,C,欧式,2.85,20181024,20180925,20181024
1129,10001467.SH,SSE,华夏上证50ETF期权1810认沽2.80,10000.0,ETF期权,P,欧式,2.8,20181024,20180925,20181024
1130,10001468.SH,SSE,华夏上证50ETF期权1810认沽2.85,10000.0,ETF期权,P,欧式,2.85,20181024,20180925,20181024
1131,10001469.SH,SSE,华夏上证50ETF期权1903认购2.794,10202.0,ETF期权,C,欧式,2.794,20190327,20180925,20190327
1132,10001470.SH,SSE,华夏上证50ETF期权1903认沽2.794,10202.0,ETF期权,P,欧式,2.794,20190327,20180925,20190327
1133,10000530.SH,SSE,华夏上证50ETF期权1606认沽2.05,10000.0,ETF期权,P,欧式,2.05,20160622,20160112,20160622
1134,10000731.SH,SSE,华夏上证50ETF期权1706认购2.348,10220.0,ETF期权,C,欧式,2.348,20170628,20161027,20170628
1135,10000282.SH,SSE,华夏上证50ETF期权1507认沽2.50,10000.0,ETF期权,P,欧式,2.5,20150722,20150706,20150722
1136,10000342.SH,SSE,华夏上证50ETF期权1512认购2.20,10000.0,ETF期权,C,欧式,2.2,20151223,20150824,20151223
1137,10000127.SH,SSE,华夏上证50ETF期权1504认购2.90,10000.0,ETF期权,C,欧式,2.9,20150422,20150408,20150422
1138,10000188.SH,SSE,华夏上证50ETF期权1512认沽3.00,10000.0,ETF期权,P,欧式,3.0,20151223,20150423,20151223
1139,10000543.SH,SSE,华夏上证50ETF期权1601认购1.85,10000.0,ETF期权,C,欧式,1.85,20160127,20160127,20160127
1140,10000812.SH,SSE,华夏上证50ETF期权1703认沽2.55,10000.0,ETF期权,P,欧式,2.55,20170322,20161130,20170322
1141,10000502.SH,SSE,华夏上证50ETF期权1602认沽2.40,10000.0,ETF期权,P,欧式,2.4,20160224,20151224,20160224
1142,10001543.SH,SSE,华夏上证50ETF期权1812认购2.25,10000.0,ETF期权,C,欧式,2.25,20181226,20181203,20181226
1143,10001544.SH,SSE,华夏上证50ETF期权1812认购2.30,10000.0,ETF期权,C,欧式,2.3,20181226,20181203,20181226
1144,10001545.SH,SSE,华夏上证50ETF期权1812认购2.35,10000.0,ETF期权,C,欧式,2.35,20181226,20181203,20181226
1145,10001546.SH,SSE,华夏上证50ETF期权1812认购2.40,10000.0,ETF期权,C,欧式,2.4,20181226,20181203,20181226
1146,10001547.SH,SSE,华夏上证50ETF期权1812认购2.45,10000.0,ETF期权,C,欧式,2.45,20181226,20181203,20181226
1147,10001548.SH,SSE,华夏上证50ETF期权1812认购2.50,10000.0,ETF期权,C,欧式,2.5,20181226,20181203,20181226
1148,10001549.SH,SSE,华夏上证50ETF期权1812认购2.55,10000.0,ETF期权,C,欧式,2.55,20181226,20181203,20181226
1149,10001550.SH,SSE,华夏上证50ETF期权1812认购2.60,10000.0,ETF期权,C,欧式,2.6,20181226,20181203,20181226
1150,10001551.SH,SSE,华夏上证50ETF期权1812认购2.65,10000.0,ETF期权,C,欧式,2.65,20181226,20181203,20181226
1151,10001552.SH,SSE,华夏上证50ETF期权1812认沽2.25,10000.0,ETF期权,P,欧式,2.25,20181226,20181203,20181226
1152,10001553.SH,SSE,华夏上证50ETF期权1812认沽2.30,10000.0,ETF期权,P,欧式,2.3,20181226,20181203,20181226
1153,10001554.SH,SSE,华夏上证50ETF期权1812认沽2.35,10000.0,ETF期权,P,欧式,2.35,20181226,20181203,20181226
1154,10001555.SH,SSE,华夏上证50ETF期权1812认沽2.40,10000.0,ETF期权,P,欧式,2.4,20181226,20181203,20181226
1155,10001556.SH,SSE,华夏上证50ETF期权1812认沽2.45,10000.0,ETF期权,P,欧式,2.45,20181226,20181203,20181226
1156,10001557.SH,SSE,华夏上证50ETF期权1812认沽2.50,10000.0,ETF期权,P,欧式,2.5,20181226,20181203,20181226
1157,10001558.SH,SSE,华夏上证50ETF期权1812认沽2.55,10000.0,ETF期权,P,欧式,2.55,20181226,20181203,20181226
1158,10001559.SH,SSE,华夏上证50ETF期权1812认沽2.60,10000.0,ETF期权,P,欧式,2.6,20181226,20181203,20181226
1159,10001560.SH,SSE,华夏上证50ETF期权1812认沽2.65,10000.0,ETF期权,P,欧式,2.65,20181226,20181203,20181226
1160,10001561.SH,SSE,华夏上证50ETF期权1901认购2.25,10000.0,ETF期权,C,欧式,2.25,20190123,20181203,20190123
1161,10001562.SH,SSE,华夏上证50ETF期权1901认购2.30,10000.0,ETF期权,C,欧式,2.3,20190123,20181203,20190123
1162,10001563.SH,SSE,华夏上证50ETF期权1901认购2.35,10000.0,ETF期权,C,欧式,2.35,20190123,20181203,20190123
1163,10001564.SH,SSE,华夏上证50ETF期权1901认购2.40,10000.0,ETF期权,C,欧式,2.4,20190123,20181203,20190123
1164,10001565.SH,SSE,华夏上证50ETF期权1901认购2.45,10000.0,ETF期权,C,欧式,2.45,20190123,20181203,20190123
1165,10001566.SH,SSE,华夏上证50ETF期权1901认购2.50,10000.0,ETF期权,C,欧式,2.5,20190123,20181203,20190123
1166,10001567.SH,SSE,华夏上证50ETF期权1901认购2.55,10000.0,ETF期权,C,欧式,2.55,20190123,20181203,20190123
1167,10001568.SH,SSE,华夏上证50ETF期权1901认购2.60,10000.0,ETF期权,C,欧式,2.6,20190123,20181203,20190123
1168,10001569.SH,SSE,华夏上证50ETF期权1901认购2.65,10000.0,ETF期权,C,欧式,2.65,20190123,20181203,20190123
1169,10001570.SH,SSE,华夏上证50ETF期权1901认沽2.25,10000.0,ETF期权,P,欧式,2.25,20190123,20181203,20190123
1170,10001571.SH,SSE,华夏上证50ETF期权1901认沽2.30,10000.0,ETF期权,P,欧式,2.3,20190123,20181203,20190123
1171,10001572.SH,SSE,华夏上证50ETF期权1901认沽2.35,10000.0,ETF期权,P,欧式,2.35,20190123,20181203,20190123
1172,10001573.SH,SSE,华夏上证50ETF期权1901认沽2.40,10000.0,ETF期权,P,欧式,2.4,20190123,20181203,20190123
1173,10001574.SH,SSE,华夏上证50ETF期权1901认沽2.45,10000.0,ETF期权,P,欧式,2.45,20190123,20181203,20190123
1174,10001575.SH,SSE,华夏上证50ETF期权1901认沽2.50,10000.0,ETF期权,P,欧式,2.5,20190123,20181203,20190123
1175,10001576.SH,SSE,华夏上证50ETF期权1901认沽2.55,10000.0,ETF期权,P,欧式,2.55,20190123,20181203,20190123
1176,10001577.SH,SSE,华夏上证50ETF期权1901认沽2.60,10000.0,ETF期权,P,欧式,2.6,20190123,20181203,20190123
1177,10001578.SH,SSE,华夏上证50ETF期权1901认沽2.65,10000.0,ETF期权,P,欧式,2.65,20190123,20181203,20190123
1178,10001579.SH,SSE,华夏上证50ETF期权1903认购2.25,10000.0,ETF期权,C,欧式,2.25,20190327,20181203,20190327
1179,10001580.SH,SSE,华夏上证50ETF期权1903认购2.30,10000.0,ETF期权,C,欧式,2.3,20190327,20181203,20190327
1180,10001581.SH,SSE,华夏上证50ETF期权1903认购2.35,10000.0,ETF期权,C,欧式,2.35,20190327,20181203,20190327
1181,10001582.SH,SSE,华夏上证50ETF期权1903认购2.40,10000.0,ETF期权,C,欧式,2.4,20190327,20181203,20190327
1182,10001583.SH,SSE,华夏上证50ETF期权1903认购2.45,10000.0,ETF期权,C,欧式,2.45,20190327,20181203,20190327
1183,10001584.SH,SSE,华夏上证50ETF期权1903认购2.50,10000.0,ETF期权,C,欧式,2.5,20190327,20181203,20190327
