,high,pre_settle,oi,wind_code,volume,amount,settle,low,trade_date,close,open,change,bopu_symbol,local_symbol,pre_close
2015/6/10,3445.8,3435.4,64664.0,IH1506.CFE,422773.0,430595000000.0,3400.4,3351.2,20150610,3365.0,3399.0,-70.4,IH1506|FU|CFFEX,IH1506,3415.8
2015/6/11,3415.0,3400.4,64572.0,IH1506.CFE,394680.0,398282000000.0,3358.0,3326.6,20150611,3361.0,3381.8,-39.4,IH1506|FU|CFFEX,IH1506,3365.0
2015/6/12,3408.0,3358.0,67900.0,IH1506.CFE,360426.0,364192000000.0,3368.8,3330.0,20150612,3405.2,3373.2,47.2,IH1506|FU|CFFEX,IH1506,3361.0
2015/6/15,3417.4,3368.8,61775.0,IH1506.CFE,398272.0,397367000000.0,3284.8,3246.6,20150615,3263.8,3395.6,-105.0,IH1506|FU|CFFEX,IH1506,3405.2
2015/6/16,3293.0,3284.8,54689.0,IH1506.CFE,388570.0,376961000000.0,3186.0,3153.2,20150616,3193.4,3264.8,-91.4,IH1506|FU|CFFEX,IH1506,3263.8
2015/6/17,3233.6,3186.0,41817.0,IH1506.CFE,362681.0,347296000000.0,3212.4,3155.2,20150617,3205.4,3231.0,19.4,IH1506|FU|CFFEX,IH1506,3193.4
2015/6/18,3205.0,3212.4,19516.0,IH1506.CFE,243040.0,229080000000.0,3098.2,3065.8,20150618,3085.4,3200.0,-127.0,IH1506|FU|CFFEX,IH1506,3205.4
2015/6/19,3106.8,3114.4,73462.0,IH1507.CFE,464391.0,422395000000.0,2946.2,2804.0,20150619,2860.0,3099.8,-254.4,IH1507|FU|CFFEX,IH1507,3103.6
2015/6/23,3038.8,2946.2,74829.0,IH1507.CFE,535265.0,475049000000.0,3008.0,2818.0,20150623,2982.6,2888.6,36.4,IH1507|FU|CFFEX,IH1507,2860.0
2015/6/24,3058.0,3008.0,67504.0,IH1507.CFE,414165.0,374133000000.0,3040.2,2965.0,20150624,3044.2,2998.8,36.2,IH1507|FU|CFFEX,IH1507,2982.6
2015/6/25,3097.4,3040.2,65506.0,IH1507.CFE,473847.0,430507000000.0,2960.6,2906.6,20150625,2919.2,3080.0,-121.0,IH1507|FU|CFFEX,IH1507,3044.2
2015/6/26,2968.8,2960.6,70148.0,IH1507.CFE,661394.0,563816000000.0,2706.6,2666.2,20150626,2690.0,2906.0,-270.6,IH1507|FU|CFFEX,IH1507,2919.2
2015/6/29,2836.2,2706.6,64914.0,IH1507.CFE,861208.0,698682000000.0,2678.6,2473.0,20150629,2654.8,2790.0,-51.8,IH1507|FU|CFFEX,IH1507,2690.0
2015/6/30,2886.2,2678.6,63114.0,IH1507.CFE,649227.0,537884000000.0,2853.0,2631.2,20150630,2847.8,2715.2,169.2,IH1507|FU|CFFEX,IH1507,2654.8
2015/7/1,2878.2,2853.0,56575.0,IH1507.CFE,553003.0,467179000000.0,2748.4,2629.6,20150701,2696.2,2847.0,-156.8,IH1507|FU|CFFEX,IH1507,2847.8
2015/7/2,2814.4,2748.4,55597.0,IH1507.CFE,632565.0,518469000000.0,2690.2,2605.0,20150702,2740.4,2744.8,-8.0,IH1507|FU|CFFEX,IH1507,2696.2
2015/7/3,2760.0,2690.2,49954.0,IH1507.CFE,582227.0,462506000000.0,2623.8,2518.4,20150703,2596.0,2725.0,-94.2,IH1507|FU|CFFEX,IH1507,2740.4
2015/7/6,2870.0,2623.8,46882.0,IH1507.CFE,469021.0,384886000000.0,2736.0,2633.0,20150706,2756.8,2850.0,133.0,IH1507|FU|CFFEX,IH1507,2596.0
2015/7/7,2826.0,2736.0,38656.0,IH1507.CFE,403815.0,332508000000.0,2778.0,2677.0,20150707,2747.0,2737.0,11.0,IH1507|FU|CFFEX,IH1507,2756.8
2015/7/8,3055.8,2778.0,31316.0,IH1507.CFE,168297.0,134035000000.0,2501.4,2500.2,20150708,2500.2,2650.0,-277.8,IH1507|FU|CFFEX,IH1507,2747.0
2015/7/9,2751.4,2501.4,23490.0,IH1507.CFE,273706.0,213805000000.0,2749.2,2355.2,20150709,2751.4,2405.2,250.0,IH1507|FU|CFFEX,IH1507,2500.2
2015/7/10,3020.0,2749.2,21468.0,IH1507.CFE,586568.0,509085000000.0,2876.0,2700.0,20150710,2853.0,2739.8,103.8,IH1507|FU|CFFEX,IH1507,2751.4
2015/7/13,2892.0,2876.0,17872.0,IH1507.CFE,381964.0,324786000000.0,2820.8,2791.0,20150713,2799.0,2839.0,-77.0,IH1507|FU|CFFEX,IH1507,2853.0
2015/7/14,2814.4,2820.8,14713.0,IH1507.CFE,339183.0,277985000000.0,2697.6,2646.0,20150714,2712.6,2814.0,-108.2,IH1507|FU|CFFEX,IH1507,2799.0
2015/7/15,2734.0,2697.6,12407.0,IH1507.CFE,344500.0,277451000000.0,2660.4,2623.0,20150715,2708.0,2711.8,10.4,IH1507|FU|CFFEX,IH1507,2712.6
2015/7/16,2784.4,2660.4,4320.0,IH1507.CFE,223454.0,183047000000.0,2741.8,2667.2,20150716,2760.6,2694.2,100.2,IH1507|FU|CFFEX,IH1507,2708.0
2015/7/17,2767.4,2653.2,9568.0,IH1509.CFE,32263.0,26130595500.0,2726.0,2656.2,20150717,2704.8,2684.8,51.6,IH1509|FU|CFFEX,IH1509,2663.2
2015/7/20,2731.0,2726.0,10110.0,IH1509.CFE,26175.0,20991050640.0,2659.4,2616.0,20150720,2658.0,2705.2,-68.0,IH1509|FU|CFFEX,IH1509,2704.8
2015/7/21,2660.8,2659.4,9629.0,IH1509.CFE,24652.0,19388378040.0,2620.6,2584.0,20150721,2619.2,2659.6,-40.2,IH1509|FU|CFFEX,IH1509,2658.0
2015/7/22,2620.2,2620.6,9694.0,IH1509.CFE,15819.0,12282709680.0,2590.6,2545.6,20150722,2585.0,2620.2,-35.6,IH1509|FU|CFFEX,IH1509,2619.2
2015/7/23,2719.2,2590.6,9564.0,IH1509.CFE,22204.0,17741331120.0,2700.8,2576.0,20150723,2709.6,2580.0,119.0,IH1509|FU|CFFEX,IH1509,2585.0
